1.239726526411927417e-04,nan,3.384775197948458971e-04,nan,1.371967384319025584e-03,nan,nan
1.145544157419054214e-04,nan,3.099976960521864900e-04,nan,1.216825265350804635e-03,nan,nan
1.987954832388517219e-04,nan,5.283797155595789741e-04,nan,2.025079894354521372e-03,nan,nan
3.215285711216621855e-04,nan,8.327291536294856951e-04,nan,3.084299268883371713e-03,nan,nan
4.818994873858288412e-04,nan,1.204825712289063098e-03,nan,4.262606563937103993e-03,nan,nan
6.734490750755655654e-04,nan,1.594385822943612807e-03,nan,5.309813231516159575e-03,nan,nan
8.930557158322979718e-04,nan,1.936823319778826526e-03,nan,5.971146275441014707e-03,nan,nan
1.147851771700319828e-03,nan,2.198115000477600649e-03,nan,6.186475040234764612e-03,nan,nan
1.453237122181152583e-03,nan,2.417148634824398384e-03,nan,6.149649547304494347e-03,nan,nan
1.822077295280015571e-03,nan,2.704417713341112500e-03,nan,6.164462248809392253e-03,nan,nan
2.252910504738431501e-03,nan,3.181513648849288497e-03,nan,6.501238478802850128e-03,nan,nan
2.731617072156045014e-03,nan,3.928946088985356411e-03,nan,7.344817729582399715e-03,nan,nan
3.247224077955278461e-03,nan,4.988531261560116489e-03,nan,8.809261206647479164e-03,nan,nan
3.809296544712778565e-03,nan,6.385348162847091606e-03,nan,1.098500703733404360e-02,nan,nan
4.453708052995010089e-03,nan,8.156671630978612128e-03,nan,1.397847648425827594e-02,nan,nan
5.225592404727179979e-03,nan,1.034618425254138323e-02,nan,1.787547610533870776e-02,nan,nan
6.145297530787066295e-03,nan,1.293657819865623275e-02,nan,2.264606094945158243e-02,nan,nan
7.190836521479584270e-03,nan,1.580425672468162290e-02,nan,2.803314042705696077e-02,nan,nan
8.349821619025574182e-03,nan,1.878063087177381935e-02,nan,3.356028838248518303e-02,nan,nan
9.753153331329818265e-03,nan,2.186480872433356135e-02,nan,3.877393095837577963e-02,nan,nan
1.181232924835600578e-02,nan,2.543070972076916583e-02,nan,4.361989422856210608e-02,nan,nan
1.528384950589382202e-02,nan,3.026457988292231838e-02,nan,4.860896947842200527e-02,nan,nan
2.103610841310933274e-02,nan,3.729020886331204515e-02,nan,5.450141279137642181e-02,nan,nan
2.941234775337798688e-02,nan,4.684207613391203062e-02,nan,6.148604870672214756e-02,nan,nan
3.968446976676586607e-02,nan,5.801641994876144404e-02,nan,6.839891708235851242e-02,nan,nan
5.102534742266987694e-02,nan,6.949557844059146838e-02,nan,7.316565889620506302e-02,nan,nan
6.638188814532118565e-02,nan,8.225660087583525071e-02,nan,7.507874178264693776e-02,nan,nan
9.529753977117856600e-02,nan,1.001286179149317446e-01,nan,7.637805169508703196e-02,nan,nan
1.399814669185315275e-01,nan,1.194916624535875133e-01,nan,7.785748647096935038e-02,nan,nan
1.700760493364412707e-01,nan,1.216451357504537145e-01,nan,7.300205585286262400e-02,nan,nan
2.996187244682498307e-01,nan,1.886996401610186724e-01,nan,1.176527405353057082e-01,nan,nan
