"","p","EC.l1","EC.bgp","EC.tgp","EC.lin"
"1",1,0.946,0.954,0.952,0.986
"2",5,0.954,0.88,0.886,0.968
"3",10,0.948,0.888,0.886,0.918
"4",15,0.944,0.922,0.924,0.866
"5",20,0.942,0.868,0.902,0.82
"6",25,0.96,0.936,0.96,0.902
"7",30,0.95,0.92,0.942,0.8
"8",35,0.938,0.928,0.918,0.796
"9",40,0.958,0.888,0.908,0.832
"10",45,0.978,0.928,0.934,0.708
"11",50,0.952,0.916,0.938,0.896
"12",55,0.96,0.936,0.95,0.818
"13",60,0.964,0.934,0.928,0.848
"14",65,0.942,0.926,0.932,0.766
"15",70,0.95,0.908,0.916,0.748
"16",75,0.958,0.934,0.944,0.74
"17",80,0.942,0.9,0.898,0.794
"18",85,0.96,0.928,0.928,0.756
"19",90,0.952,0.93,0.928,0.778
"20",95,0.962,0.938,0.94,0.82
"21",100,0.956,0.918,0.914,0.786
"22",125,0.942,0.946,0.948,0.808
"23",150,0.944,0.952,0.948,0.796
"24",200,0.944,0.944,0.952,0
