"","p","DPVI","DPcb","EDPVI","EDPcb","EDPlinVI","EDPlincb"
"1",1,0.243385947520779,0.595502954831763,0.243385947520779,0.327641084628323,1.85632893058928,1.15889992996328
"2",5,1.94651542305305,1.05918378269095,0.335696980576578,0.316014103548519,1.70494194687259,1.11253869086977
"3",10,2.02536385297317,0.853744534444419,0.287896448848101,0.275119773922709,1.44504903506643,0.54129633429059
"4",15,2.08894633512105,0.627421286773937,0.383914406603132,0.28283393817114,1.60288613317656,0.527647843585907
"5",20,2.21160172789393,0.528354771105879,0.42843476990427,0.50845411423127,2.19610301868604,0.458115335614268
"6",25,2.42806287889245,0.60351194875117,0.409504170876976,0.221960902319025,1.49675919976913,0.319949361873693
"7",30,2.40664610639876,0.645073669560886,0.28782353694397,0.0807518489185372,2.54716689077702,0.634589043763819
"8",35,2.52495213146652,0.583212419526699,0.383663980503603,0.282585144836465,2.49314781866531,0.610658368254964
"9",40,2.63424079831255,0.660708502250212,0.561016233041127,0.243039514461791,1.90920030387781,0.37569847394311
"10",45,2.64617718628247,0.666101996017604,0.368293629304075,0.608359923662549,2.7255736286644,0.433007295319605
"11",50,2.77231868870209,0.894639781721568,0.383740156074159,0.287743163094615,2.0198370735802,0.530676892012235
"12",55,2.63710484928695,0.412787824082837,0.506427280414146,0.322006785717648,2.65275685627662,0.351853092401162
"13",60,2.62115781754191,0.625662308261889,0.644334562758903,0.243039514461791,1.722927227512,0.11959307168383
"14",65,2.73218840113567,0.453201519504367,0.409128314407085,0.161208302878163,2.73759383110296,0.445392564416703
"15",70,2.61510281724344,0.575470136724695,0.508020698739299,0.161208302878163,2.26633929448913,0.524569700076014
"16",75,2.55890527993313,0.66061926551347,0.368293629304073,0.36689644397825,2.18119644640067,0.535164332061693
"17",80,2.69997671595005,0.419587717182745,0.27523818271046,0.329869545959728,2.07526144714268,0.638860371858995
"18",85,2.63898886606417,0.253083656291177,0.287896448848101,0.242886815455064,2.5032935207604,0.256964215452159
"19",90,2.68133377572338,0.790642422019957,0.624099261892773,0.440186888934285,1.9677088261191,0.148242528191431
"20",95,2.59207807427609,0.281468037152306,0.596290017815013,0.506427280414147,2.54317812794584,0.610710794240106
"21",100,2.75328289785479,0.416413663703327,0.676923838973533,0.537538673485294,1.80600368879269,1.2402547206665
"22",125,2.7784251506598,0.227057324426436,0.676138734583243,0.725560860793564,2.47248343880387,0.20526912847224
"23",150,2.60692327341352,0.200741815172191,1.07911302448115,0.779516323122634,1.82839993076458,0.356514651702463
"24",200,2.7644893144353,0.214356961220163,0.676544583759363,0.286515534586978,0,0
