"","p","l1error.l1","l1error.bgp","l1error.tgp","l1error.lin"
"1",1,1.67281352351309,0.955568169029338,0.482353468336679,0.725483548080847
"2",5,1.64204527458994,1.09399247738875,1.04417804448431,0.841634602378129
"3",10,1.66661127053636,1.18284225784649,1.04129330678373,0.943139373002589
"4",15,1.6663232378341,1.25830869536855,1.0739780313429,1.00408830245168
"5",20,1.66301924909293,1.12033390140673,1.01897867189422,1.06960528248986
"6",25,1.66963247761946,1.24658575107808,1.21112393173999,1.4369641156516
"7",30,1.66579317833329,1.15949296519189,1.12748937428488,1.29615555640487
"8",35,1.66451771601036,1.17138463552885,1.02765601125042,1.33246615583699
"9",40,1.66822109270883,1.14302072399983,0.986833108601434,1.29652899362939
"10",45,1.6711286095622,1.25307831292827,1.04751853951975,1.51734455444745
"11",50,1.66660642957527,1.17537718262018,1.04233993242824,1.28940849207363
"12",55,1.66833993620052,1.18557099608334,1.15055708187056,1.44134106900125
"13",60,1.66847195671869,1.20379725368102,1.17082337210953,1.3957611216415
"14",65,1.66550187368822,1.15100085180814,1.11311385811681,1.49613652519784
"15",70,1.66608249745566,1.19466159233616,1.04083909824731,1.56035037490638
"16",75,1.66783485800036,1.1876357966541,1.16798260872349,1.59139290474139
"17",80,1.6660913333979,1.13153643429758,1.12945639382296,1.50288037462712
"18",85,1.66852314331884,1.16083837326899,1.1602796194586,1.55338443212149
"19",90,1.66601483926827,1.18104128604138,1.17949481984235,1.47630082336888
"20",95,1.66787583530307,1.22142182801463,1.22040792991935,1.46
"21",100,1.66645109433684,1.23429510399237,1.23357089157935,1.5592236570209
"22",125,1.66600022072868,1.12306328812614,1.12608196740245,1.42640572096616
"23",150,1.66568533547418,1.18442621240183,1.18852355959269,1.5652084841009
"24",200,1.66671855558182,1.23878030324907,1.2398135344823,0
