"","p","meancilength.l1","meancilength.bgp","meancilength.tgp","meancilength.lin"
"1",1,3.44272510521007,0.807208660137087,0.629198308668589,2.58976
"2",5,3.53195472375584,0.905257323839091,0.919241065905649,1.68688
"3",10,3.7804146438378,1.03894799240453,0.981172235440199,1.1598
"4",15,3.66816652868816,1.23605714282398,1.19440924919321,0.88084
"5",20,3.66149835024051,0.889592319390929,0.859055669532226,0.83344
"6",25,3.7953465932613,1.25500530236081,1.22326103763956,1.90172
"7",30,3.68836909828079,1.03792356198441,1.05515474860215,1.26596
"8",35,3.65439383740283,1.04505247272099,0.914604024158288,1.27362
"9",40,3.78635104477948,0.990665911640786,0.889523653711863,1.26648
"10",45,3.91592732669466,1.27908646531586,1.10058292158685,1.4686
"11",50,3.73254694128665,1.04658939309778,1.0184362714482,1.55724
"12",55,3.76801818330321,1.12865138629971,1.14198458547614,1.7314
"13",60,3.77822752334114,1.15600225699588,1.11477692333545,1.58864
"14",65,3.75869940333929,1.0550740206542,1.0065449587715,1.74328
"15",70,3.72175630423076,1.08636232347017,0.980547551578186,2.10824
"16",75,3.80580548590777,1.11354290049695,1.10226027165618,2.0037
"17",80,3.68803271583407,0.97610307219729,0.969213511540336,1.9073
"18",85,3.77051762227662,1.08336724896745,1.08289109539092,2.06008
"19",90,3.60154980993165,1.10584619764275,1.10977439526572,1.57218
"20",95,3.7338489685646,1.20009481211457,1.21633950111921,2.04246
"21",100,3.72616816150281,1.16413020962073,1.16123804907946,2.09674
"22",125,3.73458972958478,1.03036605764751,1.03432013905588,1.60738
"23",150,3.72533998293851,1.177714030671,1.18847725642003,1.81684
"24",200,3.63962417165951,1.25833984214398,1.26104958413689,0
